SFIN,Segregated Fund Name,NAV Date,NAV Per Unit,Company Name,Date,Sr.no.
ULGF00215/10/04SECUREFUND116,Secure Gain,10/09/2024,57.3752,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,14
ULGF00115/09/04STABLEFUND116,Stable Gain,10/09/2024,66.8628,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,15
ULIF01709/03/05EQUMIDFUND116,Equity Midcap Fund,10/09/2024,157.8186,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,16
ULIF01809/03/05EQUMIDPLUS116,Equity Midcap Plus,10/09/2024,246.4408,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,17
ULIF02117/12/05PRMREQFUND116,Premier Equity Fund,10/09/2024,76.6489,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,18
ULIF02217/12/05PREREQGAIN116,Premier Eq Gain Fund,10/09/2024,109.7660,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,19
ULIF02017/12/05PUREEQFUND116,Pure Eq Fund,10/09/2024,168.4233,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,20
ULIF02721/07/06PURESTKFUN116,Pure Stock Fund,10/09/2024,162.4259,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,21
ULIF03824/07/06PREMEQGROW116,Premier Equity Growth Fund,10/09/2024,79.6280,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,22
ULIF03724/07/06EQINDPEN02116,Equity Index Pension Fund II,10/09/2024,85.5463,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,23
ULIF03624/07/06EQTYGROPEN116,Equity Growth Pension Fund,10/09/2024,106.5256,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,24
ULIF03324/07/06ACCEMIDPEN116,Accelerator Midcap Pension Fund,10/09/2024,164.8646,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,25
ULIF03524/07/06BONDPENFUN116,Bond Pension Fund,10/09/2024,39.4504,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,26
ULIF02924/07/06EQGROWFUND116,Equity Growth Fund,10/09/2024,90.3047,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,27
ULIF03024/07/06EQTYINDX02116,Equity Index Fund Ii,10/09/2024,81.9681,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,28
ULIF03124/07/06ACCEMIDCAP116,Accelerator Mid Cap Fund,10/09/2024,149.6469,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,29
ULIF02610/07/06BONDFUNDLI116,Bond Fund,10/09/2024,40.5116,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,30
ULIF02510/07/06LIQUIDFUND116,Liquid Fund,10/09/2024,31.0940,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,31
ULIF04528/09/07ASSETALLOC116,Asset Allocation Fund,10/09/2024,54.0270,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,32
ULIF04628/01/08ASALLOCPEN116,Asset Allocation Pension Fund,10/09/2024,53.0496,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,33
ULGF00426/03/08GRDEBTFUND116,Group Debt Fund,10/09/2024,36.4996,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,34
ULIF04717/04/08PURESTKPEN116,Pure Stock Pension Fund,10/09/2024,107.8950,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,35
ULGF00503/11/08GRLIQUFUND116,Group Liquid Fund,10/09/2024,27.1055,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,36
ULIF05106/01/10EQTYGROW02116,Equity Growth Fund II,10/09/2024,74.6087,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,37
ULIF05206/01/10ACCMIDCA02116,Accelerator Mid Cap Fund II,10/09/2024,87.3022,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,38
ULGF00822/02/10GREQTYINDX116,Group Equity Index Fund,10/09/2024,47.3707,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,39
ULGF00926/02/10GRASSALLOC116,Group Asset Allocation Fund,10/09/2024,50.0993,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,40
ULIF05610/05/10SHIELDPL02116,Shield Plus Fund II,10/09/2024,24.5837,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,41
ULIF06026/10/10BLUECHIPEQ116,Blue Chip Equity Fund,10/09/2024,45.8099,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,42
ULIF06127/01/11ASSRDRETRN116,Assured Return Fund,10/09/2024,24.2823,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,43
ULGF01018/04/11GREQTYFUND116,Group Equity Fund,10/09/2024,56.1171,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,44
ULGF01118/04/11GRBLUECHIP116,Group Blue Chip Fund,10/09/2024,50.1274,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,45
ULGF01218/04/11GRSHTRDE02116,Group Short Term Debt Fund II,10/09/2024,24.0203,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,46
ULGF01311/05/11GRGROWFU02116,Group Growth Fund II,10/09/2024,22.3396,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,47
ULGF01924/06/13GRDEBTFU02116,Group Debt Fund II,10/09/2024,22.3787,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,48
ULGF02024/06/13GRSHTRDE03116,Group Short Term Debt Fund III,10/09/2024,19.8623,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,49
ULGF02124/06/13GRLIQUFU02116,Group Liquid Fund II,10/09/2024,15.2094,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,50
ULIF07205/12/13ASSETALL02116,Asset Allocation Fund II,10/09/2024,31.4588,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,51
ULIF06908/02/13PENSIONBUI116,Pension Builder Fund,10/09/2024,19.7599,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,52
ULIF07126/03/13DISCONPENS116,Discontinued Pension Policy Fund,10/09/2024,15.5166,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,53
ULIF07026/03/13DISCONLIFE116,Discontinued Life Policy Fund,10/09/2024,16.1789,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,54
ULIF07413/05/15BALEQTYFND116,Balanced Equity Fund,10/09/2024,22.4518,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,55
ULIF07313/05/15BLDRBNDFND116,Builder Bond Fund,10/09/2024,16.1237,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,56
ULGF02202/03/15GRDEBTFU03116,Group Debt Fund III,10/09/2024,16.0717,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,57
ULIF07709/01/2017PURSTKFUN2116,Pure Stock Fund II,10/09/2024,28.1729,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,58
ULGF02518/08/16GRDBTPENFU116,Group Debt Pension Fund,10/09/2024,14.8579,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,59
ULIF07830/01/17UNCLAIMFUN116,Unclaimed Fund,10/09/2024,15.6632,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,60
ULGF02302/03/15GRLIQUFU03116,Group Liquid Fund III,10/09/2024,12.5284,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,61
ULGF02402/03/15GRBALCGA02116,Group Balanced Gain Fund II,10/09/2024,16.0979,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,62
ULIF07917/11/21FLXCAPFUND116,Flexi Cap Fund,10/09/2024,17.8097,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,63
ULIF08017/11/21SUSEQUFUND116,Sustainable Equity Fund,10/09/2024,15.6831,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,64
ULIF08717/01/23SMALLCAPFU116,Small Cap Fund,10/09/2024,20.4060,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,65
ULIF08617/01/23DYNASALLOC116,Dynamic Asset Allocation Fund,10/09/2024,11.5382,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,66
ULIF08919/10/23MIDCPINDFD116,Midcap Index Fund,10/09/2024,13.2751,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,67
ULIF09019/10/23LNTRMDBTSL116,Long Term Debt Solution Fund,10/09/2024,10.40,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,68
ULIF09103/01/24SMCPQYINDF116,Smallcap Quality Index Fund,10/09/2024,13.2136,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,69
ULIF09221/05/24NYAPA50IND116,Nifty Alpha 50 Index Fund,10/09/2024,9.8185,Bajaj Allianz Life Insurance Company Limited,10-Sep-24,70
ULIF00215/01/04CASHFUNDLI116,Cash Fund,11/09/2024,27.7453,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,1
ULIF01023/07/04CASHPLUSFU116,Cash Plus Fund,11/09/2024,39.3749,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,2
ULIF00415/01/04DEBTFUNDLI116,Debt Fund,11/09/2024,30.6128,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,3
ULIF00923/07/04DEBTPLUSFU116,Debt Plus Fund,11/09/2024,42.6326,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,4
ULIF00315/01/04EQUITYFUND116,Equity Fund,11/09/2024,103.8505,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,5
ULIF00523/07/04EQGAINFUND116,Equity Gain Fund,11/09/2024,166.9516,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,6
ULIF00623/07/04EQINDEFUND116,Equity Index Fund,11/09/2024,165.9091,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,7
ULIF00723/07/04EQPLUSFUND116,Equity Plus Fund,11/09/2024,207.8145,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,8
ULIF01123/07/04LIFELOGAIN116,Life Long Gain,11/09/2024,26.9671,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,9
ULIF01618/11/04CASHPLUPEN116,Cash Plus Pension,11/09/2024,39.2695,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,10
ULIF01518/11/04DEBTPLUPEN116,Debt Plus Pension,11/09/2024,46.0650,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,11
ULIF01318/11/04EQINDEXPEN116,Equity Index Pension,11/09/2024,148.0067,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,12
ULIF01218/11/04EQUPLUSPEN116,Equity Plus Pension,11/09/2024,222.8022,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,13
ULGF00215/10/04SECUREFUND116,Secure Gain,11/09/2024,57.3850,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,14
ULGF00115/09/04STABLEFUND116,Stable Gain,11/09/2024,66.8234,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,15
ULIF01709/03/05EQUMIDFUND116,Equity Midcap Fund,11/09/2024,157.1007,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,16
ULIF01809/03/05EQUMIDPLUS116,Equity Midcap Plus,11/09/2024,245.4648,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,17
ULIF02117/12/05PRMREQFUND116,Premier Equity Fund,11/09/2024,76.2734,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,18
ULIF02217/12/05PREREQGAIN116,Premier Eq Gain Fund,11/09/2024,109.1154,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,19
ULIF02017/12/05PUREEQFUND116,Pure Eq Fund,11/09/2024,167.4805,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,20
ULIF02721/07/06PURESTKFUN116,Pure Stock Fund,11/09/2024,161.6055,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,21
ULIF03824/07/06PREMEQGROW116,Premier Equity Growth Fund,11/09/2024,79.1913,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,22
ULIF03724/07/06EQINDPEN02116,Equity Index Pension Fund II,11/09/2024,85.3136,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,23
ULIF03624/07/06EQTYGROPEN116,Equity Growth Pension Fund,11/09/2024,105.8753,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,24
ULIF03324/07/06ACCEMIDPEN116,Accelerator Midcap Pension Fund,11/09/2024,164.1635,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,25
ULIF03524/07/06BONDPENFUN116,Bond Pension Fund,11/09/2024,39.4934,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,26
ULIF02924/07/06EQGROWFUND116,Equity Growth Fund,11/09/2024,89.7952,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,27
ULIF03024/07/06EQTYINDX02116,Equity Index Fund Ii,11/09/2024,81.6361,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,28
ULIF03124/07/06ACCEMIDCAP116,Accelerator Mid Cap Fund,11/09/2024,149.0064,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,29
ULIF02610/07/06BONDFUNDLI116,Bond Fund,11/09/2024,40.5636,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,30
ULIF02510/07/06LIQUIDFUND116,Liquid Fund,11/09/2024,31.0992,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,31
ULIF04528/09/07ASSETALLOC116,Asset Allocation Fund,11/09/2024,53.9123,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,32
ULIF04628/01/08ASALLOCPEN116,Asset Allocation Pension Fund,11/09/2024,52.9190,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,33
ULGF00426/03/08GRDEBTFUND116,Group Debt Fund,11/09/2024,36.5469,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,34
ULIF04717/04/08PURESTKPEN116,Pure Stock Pension Fund,11/09/2024,107.2986,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,35
ULGF00503/11/08GRLIQUFUND116,Group Liquid Fund,11/09/2024,27.11,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,36
ULIF05106/01/10EQTYGROW02116,Equity Growth Fund II,11/09/2024,74.2381,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,37
ULIF05206/01/10ACCMIDCA02116,Accelerator Mid Cap Fund II,11/09/2024,87.0205,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,38
ULGF00822/02/10GREQTYINDX116,Group Equity Index Fund,11/09/2024,47.1958,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,39
ULGF00926/02/10GRASSALLOC116,Group Asset Allocation Fund,11/09/2024,49.9656,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,40
ULIF05610/05/10SHIELDPL02116,Shield Plus Fund II,11/09/2024,24.5860,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,41
ULIF06026/10/10BLUECHIPEQ116,Blue Chip Equity Fund,11/09/2024,45.5643,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,42
ULIF06127/01/11ASSRDRETRN116,Assured Return Fund,11/09/2024,24.3037,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,43
ULGF01018/04/11GREQTYFUND116,Group Equity Fund,11/09/2024,55.7793,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,44
ULGF01118/04/11GRBLUECHIP116,Group Blue Chip Fund,11/09/2024,49.8924,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,45
ULGF01218/04/11GRSHTRDE02116,Group Short Term Debt Fund II,11/09/2024,24.0282,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,46
ULGF01311/05/11GRGROWFU02116,Group Growth Fund II,11/09/2024,22.3429,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,47
ULGF01924/06/13GRDEBTFU02116,Group Debt Fund II,11/09/2024,22.4033,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,48
ULGF02024/06/13GRSHTRDE03116,Group Short Term Debt Fund III,11/09/2024,19.8665,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,49
ULGF02124/06/13GRLIQUFU02116,Group Liquid Fund II,11/09/2024,15.2119,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,50
ULIF07205/12/13ASSETALL02116,Asset Allocation Fund II,11/09/2024,31.3857,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,51
ULIF06908/02/13PENSIONBUI116,Pension Builder Fund,11/09/2024,19.7356,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,52
ULIF07126/03/13DISCONPENS116,Discontinued Pension Policy Fund,11/09/2024,15.5191,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,53
ULIF07026/03/13DISCONLIFE116,Discontinued Life Policy Fund,11/09/2024,16.1817,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,54
ULIF07413/05/15BALEQTYFND116,Balanced Equity Fund,11/09/2024,22.3947,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,55
ULIF07313/05/15BLDRBNDFND116,Builder Bond Fund,11/09/2024,16.1378,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,56
ULGF02202/03/15GRDEBTFU03116,Group Debt Fund III,11/09/2024,16.0950,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,57
ULIF07709/01/2017PURSTKFUN2116,Pure Stock Fund II,11/09/2024,28.0290,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,58
ULGF02518/08/16GRDBTPENFU116,Group Debt Pension Fund,11/09/2024,14.8806,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,59
ULIF07830/01/17UNCLAIMFUN116,Unclaimed Fund,11/09/2024,15.6657,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,60
ULGF02302/03/15GRLIQUFU03116,Group Liquid Fund III,11/09/2024,12.5302,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,61
ULGF02402/03/15GRBALCGA02116,Group Balanced Gain Fund II,11/09/2024,16.0828,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,62
ULIF07917/11/21FLXCAPFUND116,Flexi Cap Fund,11/09/2024,17.7226,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,63
ULIF08017/11/21SUSEQUFUND116,Sustainable Equity Fund,11/09/2024,15.6072,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,64
ULIF08717/01/23SMALLCAPFU116,Small Cap Fund,11/09/2024,20.2637,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,65
ULIF08617/01/23DYNASALLOC116,Dynamic Asset Allocation Fund,11/09/2024,11.5252,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,66
ULIF08919/10/23MIDCPINDFD116,Midcap Index Fund,11/09/2024,13.2402,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,67
ULIF09019/10/23LNTRMDBTSL116,Long Term Debt Solution Fund,11/09/2024,10.4169,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,68
ULIF09103/01/24SMCPQYINDF116,Smallcap Quality Index Fund,11/09/2024,13.1456,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,69
ULIF09221/05/24NYAPA50IND116,Nifty Alpha 50 Index Fund,11/09/2024,9.7956,Bajaj Allianz Life Insurance Company Limited,11-Sep-24,70
ULIF00215/01/04CASHFUNDLI116,Cash Fund,16/09/2024,27.7620,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,1
ULIF01023/07/04CASHPLUSFU116,Cash Plus Fund,16/09/2024,39.4080,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,2
ULIF00415/01/04DEBTFUNDLI116,Debt Fund,16/09/2024,30.7397,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,3
ULIF00923/07/04DEBTPLUSFU116,Debt Plus Fund,16/09/2024,42.8296,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,4
ULIF00315/01/04EQUITYFUND116,Equity Fund,16/09/2024,105.7452,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,5
ULIF00523/07/04EQGAINFUND116,Equity Gain Fund,16/09/2024,170.4240,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,6
ULIF00623/07/04EQINDEFUND116,Equity Index Fund,16/09/2024,168.9745,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,7
ULIF00723/07/04EQPLUSFUND116,Equity Plus Fund,16/09/2024,212.1068,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,8
ULIF01123/07/04LIFELOGAIN116,Life Long Gain,16/09/2024,27.0788,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,9
ULIF01618/11/04CASHPLUPEN116,Cash Plus Pension,16/09/2024,39.3025,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,10
ULIF01518/11/04DEBTPLUPEN116,Debt Plus Pension,16/09/2024,46.3061,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,11
ULIF01318/11/04EQINDEXPEN116,Equity Index Pension,16/09/2024,150.8321,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,12
ULIF01218/11/04EQUPLUSPEN116,Equity Plus Pension,16/09/2024,227.3335,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,13
ULGF00215/10/04SECUREFUND116,Secure Gain,16/09/2024,57.7861,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,14
ULGF00115/09/04STABLEFUND116,Stable Gain,16/09/2024,67.3829,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,15
ULIF01709/03/05EQUMIDFUND116,Equity Midcap Fund,16/09/2024,160.0911,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,16
ULIF01809/03/05EQUMIDPLUS116,Equity Midcap Plus,16/09/2024,250.0360,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,17
ULIF02117/12/05PRMREQFUND116,Premier Equity Fund,16/09/2024,77.6762,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,18
ULIF02217/12/05PREREQGAIN116,Premier Eq Gain Fund,16/09/2024,111.2882,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,19
ULIF02017/12/05PUREEQFUND116,Pure Eq Fund,16/09/2024,170.2004,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,20
ULIF02721/07/06PURESTKFUN116,Pure Stock Fund,16/09/2024,164.2524,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,21
ULIF03824/07/06PREMEQGROW116,Premier Equity Growth Fund,16/09/2024,80.8934,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,22
ULIF03724/07/06EQINDPEN02116,Equity Index Pension Fund II,16/09/2024,86.7959,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,23
ULIF03624/07/06EQTYGROPEN116,Equity Growth Pension Fund,16/09/2024,108.0254,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,24
ULIF03324/07/06ACCEMIDPEN116,Accelerator Midcap Pension Fund,16/09/2024,167.4826,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,25
ULIF03524/07/06BONDPENFUN116,Bond Pension Fund,16/09/2024,39.6673,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,26
ULIF02924/07/06EQGROWFUND116,Equity Growth Fund,16/09/2024,91.7342,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,27
ULIF03024/07/06EQTYINDX02116,Equity Index Fund Ii,16/09/2024,83.0607,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,28
ULIF03124/07/06ACCEMIDCAP116,Accelerator Mid Cap Fund,16/09/2024,151.7963,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,29
ULIF02610/07/06BONDFUNDLI116,Bond Fund,16/09/2024,40.7273,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,30
ULIF02510/07/06LIQUIDFUND116,Liquid Fund,16/09/2024,31.1249,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,31
ULIF04528/09/07ASSETALLOC116,Asset Allocation Fund,16/09/2024,54.5989,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,32
ULIF04628/01/08ASALLOCPEN116,Asset Allocation Pension Fund,16/09/2024,53.5757,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,33
ULGF00426/03/08GRDEBTFUND116,Group Debt Fund,16/09/2024,36.7123,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,34
ULIF04717/04/08PURESTKPEN116,Pure Stock Pension Fund,16/09/2024,109.0998,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,35
ULGF00503/11/08GRLIQUFUND116,Group Liquid Fund,16/09/2024,27.1326,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,36
ULIF05106/01/10EQTYGROW02116,Equity Growth Fund II,16/09/2024,75.7202,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,37
ULIF05206/01/10ACCMIDCA02116,Accelerator Mid Cap Fund II,16/09/2024,88.5282,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,38
ULGF00822/02/10GREQTYINDX116,Group Equity Index Fund,16/09/2024,48.0538,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,39
ULGF00926/02/10GRASSALLOC116,Group Asset Allocation Fund,16/09/2024,50.6369,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,40
ULIF05610/05/10SHIELDPL02116,Shield Plus Fund II,16/09/2024,24.5997,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,41
ULIF06026/10/10BLUECHIPEQ116,Blue Chip Equity Fund,16/09/2024,46.4078,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,42
ULIF06127/01/11ASSRDRETRN116,Assured Return Fund,16/09/2024,24.3830,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,43
ULGF01018/04/11GREQTYFUND116,Group Equity Fund,16/09/2024,56.9058,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,44
ULGF01118/04/11GRBLUECHIP116,Group Blue Chip Fund,16/09/2024,50.7473,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,45
ULGF01218/04/11GRSHTRDE02116,Group Short Term Debt Fund II,16/09/2024,24.0617,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,46
ULGF01311/05/11GRGROWFU02116,Group Growth Fund II,16/09/2024,22.3589,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,47
ULGF01924/06/13GRDEBTFU02116,Group Debt Fund II,16/09/2024,22.4954,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,48
ULGF02024/06/13GRSHTRDE03116,Group Short Term Debt Fund III,16/09/2024,19.8935,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,49
ULGF02124/06/13GRLIQUFU02116,Group Liquid Fund II,16/09/2024,15.22,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,50
ULIF07205/12/13ASSETALL02116,Asset Allocation Fund II,16/09/2024,31.7851,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,51
ULIF06908/02/13PENSIONBUI116,Pension Builder Fund,16/09/2024,19.8823,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,52
ULIF07126/03/13DISCONPENS116,Discontinued Pension Policy Fund,16/09/2024,15.5315,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,53
ULIF07026/03/13DISCONLIFE116,Discontinued Life Policy Fund,16/09/2024,16.1959,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,54
ULIF07413/05/15BALEQTYFND116,Balanced Equity Fund,16/09/2024,22.6085,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,55
ULIF07313/05/15BLDRBNDFND116,Builder Bond Fund,16/09/2024,16.1999,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,56
ULGF02202/03/15GRDEBTFU03116,Group Debt Fund III,16/09/2024,16.1617,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,57
ULIF07709/01/2017PURSTKFUN2116,Pure Stock Fund II,16/09/2024,28.4984,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,58
ULGF02518/08/16GRDBTPENFU116,Group Debt Pension Fund,16/09/2024,14.9541,Bajaj Allianz Life Insurance Company Limited,16-Sep-24,59
